fname,created_dttm
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20201228_115915.JPG,2020-12-28T11:59:16Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20201229_115914.JPG,2020-12-29T11:59:15Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20201230_115913.JPG,2020-12-30T11:59:14Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20201231_115912.JPG,2020-12-31T11:59:13Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20201295_115918.JPG,2020-12-25T11:59:19Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20201904_115941.JPG,2020-12-04T11:59:42Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20204216_115928.JPG,2020-12-16T11:59:29Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210101_120411.JPG,2021-01-01T12:04:12Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210102_115910.JPG,2021-01-02T11:59:11Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210103_120409.JPG,2021-01-03T12:04:10Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210104_115908.JPG,2021-01-04T11:59:08Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210105_115907.JPG,2021-01-05T11:59:07Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210106_115905.JPG,2021-01-06T11:59:06Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210107_115904.JPG,2021-01-07T11:59:05Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210108_115903.JPG,2021-01-08T11:59:04Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210109_115902.JPG,2021-01-09T11:59:03Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210110_115901.JPG,2021-01-10T11:59:02Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210111_120400.JPG,2021-01-11T12:04:01Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210112_115959.JPG,2021-01-12T11:59:00Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210113_115858.JPG,2021-01-13T11:58:59Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210114_115857.JPG,2021-01-14T11:58:58Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210115_115856.JPG,2021-01-15T11:58:56Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210116_115855.JPG,2021-01-16T11:58:56Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210117_115854.JPG,2021-01-17T11:58:54Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210118_115852.JPG,2021-01-18T11:58:53Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210119_120352.JPG,2021-01-19T12:03:52Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210120_120351.JPG,2021-01-20T12:03:51Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210121_115849.JPG,2021-01-21T11:58:50Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210122_115848.JPG,2021-01-22T11:58:49Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210123_115847.JPG,2021-01-23T11:58:48Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210124_115846.JPG,2021-01-24T11:58:47Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210125_115845.JPG,2021-01-25T11:58:46Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210126_115844.JPG,2021-01-26T11:58:45Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210127_120343.JPG,2021-01-27T12:03:44Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210128_115842.JPG,2021-01-28T11:58:42Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210129_115841.JPG,2021-01-29T11:58:41Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210130_115840.JPG,2021-01-30T11:58:40Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210131_115838.JPG,2021-01-31T11:58:39Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210201_115837.JPG,2021-02-01T11:58:38Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210202_115836.JPG,2021-02-02T11:58:37Z
