,old_name,new_name,status,note,old_folder
31,12070065.JPG,Hbwtr_w4_20201207_115936.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
32,12080067.JPG,Hbwtr_w4_20201208_115935.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
33,12090069.JPG,Hbwtr_w4_20201209_115933.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
34,12100071.JPG,Hbwtr_w4_20201210_115932.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
35,12110073.JPG,Hbwtr_w4_20201211_115931.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
36,12120075.JPG,Hbwtr_w4_20201212_115930.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
37,12130077.JPG,Hbwtr_w4_20201213_115929.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
38,12140079.JPG,Hbwtr_w4_20201214_115927.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
39,12150081.JPG,Hbwtr_w4_20201215_115926.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
40,12160083.JPG,Hbwtr_w4_20201216_115925.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
41,12170085.JPG,Hbwtr_w4_20201217_115924.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
42,12180087.JPG,Hbwtr_w4_20201218_115923.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
43,12190089.JPG,Hbwtr_w4_20201219_115922.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
44,12200091.JPG,Hbwtr_w4_20201220_115921.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
45,12210093.JPG,Hbwtr_w4_20201221_115920.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
46,12220095.JPG,Hbwtr_w4_20201222_115918.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
47,12230097.JPG,Hbwtr_w4_20201223_115917.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
48,12240099.JPG,Hbwtr_w4_20201224_115916.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
49,12250101.JPG,Hbwtr_w4_20201225_115915.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
50,12260103.JPG,Hbwtr_w4_20201226_115914.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
51,12270105.JPG,Hbwtr_w4_20201227_115913.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
52,12280107.JPG,Hbwtr_w4_20201228_115911.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
53,12290109.JPG,Hbwtr_w4_20201229_115910.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
54,12300111.JPG,Hbwtr_w4_20201230_115909.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
55,12310113.JPG,Hbwtr_w4_20201231_115908.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
56,01010116.JPG,Hbwtr_w4_20210101_120407.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
57,01020117.JPG,Hbwtr_w4_20210102_115905.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
58,01030119.JPG,Hbwtr_w4_20210103_115904.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
59,01040121.JPG,Hbwtr_w4_20210104_115903.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
60,01050123.JPG,Hbwtr_w4_20210105_115902.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
61,01060125.JPG,Hbwtr_w4_20210106_115901.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
62,01070127.JPG,Hbwtr_w4_20210107_115900.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
63,01080129.JPG,Hbwtr_w4_20210108_115858.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
64,01090131.JPG,Hbwtr_w4_20210109_115857.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
65,01100133.JPG,Hbwtr_w4_20210110_115856.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
66,01110135.JPG,Hbwtr_w4_20210111_115855.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
67,01120137.JPG,Hbwtr_w4_20210112_115854.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
